Country.of.Origin,Processing.Method,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Moisture,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Total.Cup.Points,Specialty_Grade
Brazil,Natural / Dry,1250.0,0,2,0.12,8.5,8.5,8.0,8.0,8.0,8.0,86.92,1
Ethiopia,Washed / Wet,1310.64,0,2,0.05,7.83,8.25,8.08,8.17,8.17,8.17,86.92,1
Uganda,Washed / Wet,1950.0,0,1,0.12,8.42,8.17,8.17,8.17,7.83,7.92,86.83,1
Honduras,Washed / Wet,1400.0,0,3,0.1,8.17,8.08,8.08,8.0,8.08,8.0,86.67,1
Taiwan,Pulped natural / honey,1200.0,0,0,0.0,8.0,8.0,8.0,8.25,8.0,8.17,86.58,1
Nicaragua,Washed / Wet,1310.64,0,2,0.08,7.92,8.25,8.0,8.33,8.0,8.08,86.58,1
"Tanzania, United Republic Of",Natural / Dry,1310.64,0,1,0.11,8.42,8.17,8.17,8.0,7.58,8.0,86.5,1
Brazil,Natural / Dry,1300.0,0,2,0.12,8.5,8.17,8.0,7.75,8.0,8.0,86.42,1
Costa Rica,Washed / Wet,1300.0,0,0,0.0,8.17,7.83,8.0,8.08,7.83,8.0,86.33,1
Ethiopia,Natural / Dry,1775.0,0,3,0.1,8.0,8.08,7.92,8.0,8.08,8.08,86.25,1
Kenya,Washed / Wet,1800.0,0,1,0.12,8.08,8.0,8.0,8.25,7.92,7.92,86.25,1
United States (Hawaii),Natural / Dry,1310.64,1,4,0.0,8.08,8.17,8.0,7.92,7.92,7.83,86.25,1
United States (Hawaii),Washed / Wet,1310.64,2,1,0.0,8.25,8.42,8.08,7.75,7.67,7.83,86.25,1
Ethiopia,Washed / Wet,1310.64,0,2,0.1,7.92,7.75,8.08,8.08,8.08,8.17,86.25,1
United States,Washed / Wet,1941.0,0,0,0.0,7.67,8.17,8.0,8.0,8.17,8.08,86.17,1
Thailand,Washed / Wet,1300.0,1,9,0.1,7.83,8.33,7.83,8.25,7.58,7.92,86.17,1
Brazil,Washed / Wet,12.0,0,2,0.08,8.17,7.92,7.92,7.75,8.33,8.0,86.17,1
Brazil,Washed / Wet,12.0,0,3,0.01,8.42,7.92,8.0,7.75,7.92,8.0,86.17,1
Taiwan,Semi-washed / Semi-pulped,1000.0,0,0,0.12,8.08,8.17,7.75,8.08,7.75,7.83,86.08,1
Kenya,Natural / Dry,1754.0,0,2,0.11,8.08,8.08,8.0,8.0,7.83,8.08,86.08,1
Brazil,Semi-washed / Semi-pulped,1250.0,0,2,0.11,8.33,8.0,8.0,8.0,7.75,8.0,86.08,1
Uganda,Semi-washed / Semi-pulped,1310.64,0,0,0.0,8.08,8.08,7.83,7.92,8.08,7.92,86.0,1
Colombia,Washed / Wet,1200.0,1,1,0.12,7.75,7.92,7.83,8.08,8.08,8.17,86.0,1
Kenya,Washed / Wet,1860.0,0,1,0.11,7.92,8.17,7.83,8.5,7.5,7.92,86.0,1
Uganda,Washed / Wet,1650.0,0,0,0.1,8.25,8.0,7.83,8.08,8.0,7.92,86.0,1
Ethiopia,Washed / Wet,1750.0,0,4,0.01,7.75,8.08,8.0,8.25,8.0,8.0,86.0,1
United States (Hawaii),Washed / Wet,426.72,0,0,0.0,8.33,8.17,7.75,8.0,7.75,7.83,86.0,1
Guatemala,Washed / Wet,1310.64,0,3,0.1,7.92,8.08,7.92,8.08,8.08,7.83,85.92,1
Uganda,Natural / Dry,1650.0,0,0,0.12,8.17,8.17,7.92,8.08,7.83,7.75,85.92,1
Colombia,Washed / Wet,1800.0,1,0,0.0,8.0,8.0,8.0,8.17,7.83,8.0,85.92,1
Panama,Washed / Wet,1600.0,0,0,0.08,8.0,8.0,7.92,8.08,7.83,8.0,85.83,1
Ethiopia,Washed / Wet,1900.0,0,4,0.1,7.83,8.08,7.92,8.08,8.0,7.92,85.83,1
Guatemala,Washed / Wet,1524.0,0,3,0.12,7.83,8.0,8.0,8.17,7.83,8.0,85.83,1
Guatemala,Washed / Wet,1417.32,0,1,0.1,8.0,8.0,7.83,8.33,7.83,7.83,85.83,1
Ethiopia,Natural / Dry,1310.64,0,7,0.09,7.83,8.0,7.83,8.17,7.92,8.0,85.75,1
Peru,Washed / Wet,1310.64,4,6,0.1,8.0,8.0,8.0,8.08,7.92,7.75,85.75,1
Papua New Guinea,Washed / Wet,1700.0,0,1,0.12,8.33,8.42,7.83,8.33,8.0,8.25,85.75,1
El Salvador,Washed / Wet,1500.0,0,3,0.1,7.92,8.17,8.0,7.92,7.75,7.83,85.58,1
El Salvador,Semi-washed / Semi-pulped,1350.0,0,0,0.11,7.83,8.0,8.0,7.75,7.92,8.17,85.58,1
United States (Hawaii),Natural / Dry,1310.64,0,1,0.0,7.83,8.0,7.92,7.75,8.08,8.0,85.58,1
Panama,Natural / Dry,1680.0,2,2,0.09,8.0,7.75,7.83,7.83,7.67,8.58,85.5,1
Kenya,Natural / Dry,1900.0,0,3,0.1,7.92,7.92,7.83,8.08,7.83,7.92,85.5,1
Ethiopia,Natural / Dry,1900.0,0,7,0.12,7.83,8.0,7.83,7.92,7.83,8.08,85.5,1
Uganda,Washed / Wet,1600.0,0,1,0.12,8.33,7.92,7.67,7.92,7.67,7.92,85.5,1
Guatemala,Washed / Wet,1731.264,0,1,0.11,8.0,7.83,7.67,8.33,7.83,8.0,85.5,1
Ethiopia,Washed / Wet,1900.0,0,18,0.1,7.75,7.83,7.83,8.17,7.92,7.83,85.42,1
Uganda,Washed / Wet,1950.0,0,5,0.12,8.08,8.0,7.83,7.67,8.0,7.83,85.42,1
United States (Hawaii),Natural / Dry,1310.64,4,6,0.0,7.92,7.92,7.75,7.92,7.75,7.92,85.42,1
Brazil,Semi-washed / Semi-pulped,1250.0,0,1,0.11,8.0,8.0,8.0,7.67,7.75,8.0,85.42,1
El Salvador,Washed / Wet,1400.0,0,0,0.01,8.08,7.83,7.83,8.08,7.83,7.83,85.42,1
China,Natural / Dry,1700.0,0,0,0.1,8.0,8.0,8.0,7.83,7.83,7.75,85.33,1
Guatemala,Natural / Dry,1770.0,0,1,0.11,7.83,7.75,7.83,7.67,7.83,8.58,85.33,1
Costa Rica,Washed / Wet,1300.0,0,0,0.0,7.92,8.08,8.0,7.92,8.0,8.08,85.33,1
Costa Rica,Washed / Wet,1300.0,0,2,0.1,8.0,7.58,7.58,7.67,8.08,8.5,85.33,1
Kenya,Washed / Wet,1600.0,0,2,0.0,7.83,8.08,7.75,8.08,7.92,7.75,85.33,1
Kenya,Washed / Wet,1200.0,0,6,0.0,8.0,7.92,7.92,8.08,7.83,7.75,85.33,1
Ethiopia,Washed / Wet,1310.64,0,2,0.05,7.83,7.83,7.92,8.08,7.75,7.83,85.33,1
Ethiopia,Washed / Wet,1310.64,0,3,0.1,7.92,7.83,7.75,8.33,7.75,7.75,85.33,1
Guatemala,Washed / Wet,1310.64,0,2,0.1,8.0,7.92,7.75,8.0,7.92,7.83,85.25,1
Colombia,Washed / Wet,1550.0,0,0,0.11,8.17,7.92,7.83,8.0,7.58,7.83,85.25,1
Colombia,Natural / Dry,1550.0,0,2,0.12,7.58,8.08,7.92,7.83,8.0,7.92,85.25,1
Indonesia,Semi-washed / Semi-pulped,1325.0,0,3,0.11,7.75,7.83,7.67,8.0,8.08,7.83,85.17,1
Guatemala,Washed / Wet,1400.0,0,7,0.0,8.25,8.0,7.67,7.92,7.75,7.67,85.17,1
Ethiopia,Natural / Dry,1310.64,0,8,0.11,7.75,8.0,7.58,8.0,8.0,7.92,85.08,1
Colombia,Natural / Dry,2560.0,0,0,0.0,8.17,7.83,7.58,8.08,8.0,7.75,85.08,1
Ethiopia,Natural / Dry,1700.0,2,7,0.1,8.42,8.0,7.42,8.0,7.92,7.92,85.08,1
United States (Hawaii),Natural / Dry,1310.64,2,2,0.11,7.58,7.83,7.83,7.92,7.83,8.17,85.08,1
Colombia,Natural / Dry,2136.0,0,8,0.11,7.83,8.0,7.75,7.75,7.83,7.83,85.08,1
United States (Hawaii),Washed / Wet,1310.64,1,7,0.01,8.08,8.17,7.92,8.0,8.08,8.0,85.08,1
Ethiopia,Washed / Wet,1310.64,0,5,0.0,7.67,8.0,7.83,8.0,7.92,7.83,85.08,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.0,7.5,7.92,8.25,7.83,7.92,7.75,85.08,1
Uganda,Washed / Wet,1800.0,0,1,0.11,8.17,7.92,7.75,7.75,7.67,7.75,85.0,1
Colombia,Washed / Wet,1310.64,0,3,0.0,8.0,7.92,7.75,7.92,7.75,7.83,85.0,1
Costa Rica,Washed / Wet,1900.0,1,1,0.12,7.83,8.0,7.58,7.92,7.92,7.83,85.0,1
Mexico,Washed / Wet,1300.0,0,3,0.09,7.83,8.0,7.83,7.75,7.67,7.83,85.0,1
Kenya,Washed / Wet,1.0,0,7,0.11,8.17,7.83,7.92,7.75,7.67,7.83,85.0,1
Kenya,Washed / Wet,1580.0,0,5,0.0,7.75,7.83,7.75,8.08,8.0,7.75,85.0,1
Brazil,Natural / Dry,1100.0,0,3,0.12,8.0,8.0,7.83,7.83,7.67,7.67,85.0,1
Mexico,Washed / Wet,1400.0,0,0,0.0,7.92,8.17,7.75,8.08,7.42,7.83,85.0,1
United States (Hawaii),Washed / Wet,1310.64,0,1,0.0,7.75,7.92,7.75,7.75,8.0,8.0,85.0,1
Guatemala,Washed / Wet,1325.88,0,1,0.04,7.83,8.08,7.67,8.0,7.75,7.67,85.0,1
Colombia,Washed / Wet,1310.64,1,2,0.0,7.92,7.92,7.67,7.83,7.92,7.83,84.92,1
Colombia,Washed / Wet,1775.0,0,1,0.12,7.92,7.83,7.75,7.83,7.75,8.0,84.92,1
Taiwan,Semi-washed / Semi-pulped,800.0,0,0,0.11,7.67,7.83,8.0,7.58,8.0,7.92,84.92,1
"Tanzania, United Republic Of",Washed / Wet,1620.0,0,2,0.12,8.0,7.83,7.83,7.92,7.75,7.75,84.92,1
Colombia,Washed / Wet,1775.0,0,3,0.11,7.75,7.92,7.83,7.75,7.75,8.0,84.92,1
Mexico,Semi-washed / Semi-pulped,1200.0,0,0,0.11,7.75,8.0,7.75,7.83,7.5,7.92,84.92,1
Brazil,Natural / Dry,1200.0,0,2,0.11,8.0,7.92,7.75,7.75,8.0,7.75,84.92,1
Brazil,Natural / Dry,1000.0,0,2,0.12,8.0,8.0,7.75,8.0,7.5,7.75,84.92,1
Kenya,Washed / Wet,1310.64,1,9,0.06,8.0,7.67,7.83,8.17,7.92,7.75,84.92,1
Taiwan,Natural / Dry,350.0,0,0,0.0,7.92,7.58,7.83,7.83,7.83,7.83,84.83,1
Uganda,Natural / Dry,1650.0,0,1,0.12,7.75,7.92,7.67,7.67,8.25,7.75,84.83,1
United States (Hawaii),Natural / Dry,1310.64,3,15,0.0,7.67,7.75,7.75,7.75,7.83,8.0,84.83,1
Ethiopia,Washed / Wet,1750.0,0,2,0.1,7.75,7.92,7.83,7.92,7.75,7.67,84.83,1
Ethiopia,Washed / Wet,1750.0,0,4,0.1,7.42,7.92,7.92,8.0,7.83,7.83,84.83,1
Thailand,Pulped natural / honey,1310.64,0,0,0.12,7.75,7.75,7.75,7.75,8.0,7.75,84.75,1
Kenya,Washed / Wet,1800.0,0,0,0.13,7.92,7.83,7.58,7.92,7.75,7.83,84.75,1
Honduras,Washed / Wet,1450.0,0,4,0.11,7.83,7.75,8.0,7.67,7.67,7.67,84.75,1
El Salvador,Washed / Wet,1200.0,0,3,0.15,7.75,8.0,8.0,8.33,7.67,7.92,84.75,1
Nicaragua,Washed / Wet,925.0,0,2,0.18,7.83,7.58,7.58,7.83,7.75,7.67,84.75,1
El Salvador,Washed / Wet,1350.0,0,2,0.0,7.83,7.83,7.5,8.0,7.83,7.67,84.67,1
Indonesia,Washed / Wet,1200.0,0,7,0.12,7.92,7.83,7.75,7.75,7.75,7.75,84.67,1
Japan,Pulped natural / honey,170.0,0,0,0.12,7.75,7.75,7.75,7.42,8.08,7.83,84.67,1
Costa Rica,Washed / Wet,1150.0,0,2,0.1,8.08,7.75,7.67,7.83,7.5,7.92,84.67,1
Guatemala,Washed / Wet,1600.0,0,1,0.1,7.75,7.83,7.58,8.0,7.92,7.75,84.67,1
Costa Rica,Washed / Wet,1750.0,0,0,0.12,8.17,8.0,7.83,7.17,7.83,7.75,84.67,1
Ethiopia,Washed / Wet,1900.0,0,3,0.1,8.08,7.83,7.75,7.83,7.58,7.67,84.67,1
Costa Rica,Other,1750.0,0,1,0.08,7.67,7.58,7.75,7.75,7.67,8.58,84.67,1
Costa Rica,Washed / Wet,1200.0,0,4,0.11,8.0,7.58,7.83,7.75,7.75,7.75,84.67,1
Costa Rica,Washed / Wet,1310.64,1,10,0.0,8.08,7.83,7.75,7.83,7.92,8.0,84.67,1
Taiwan,Washed / Wet,1000.0,0,0,0.11,8.0,7.92,7.75,7.75,7.75,7.75,84.67,1
Colombia,Washed / Wet,1550.0,0,0,0.0,7.75,7.83,7.75,7.83,7.75,7.83,84.67,1
Kenya,Washed / Wet,2000.0,0,0,0.11,7.75,7.92,7.83,8.0,7.58,7.75,84.67,1
Guatemala,Washed / Wet,1310.64,0,4,0.11,8.0,7.83,7.67,7.83,7.67,8.0,84.67,1
Guatemala,Washed / Wet,1524.0,0,4,0.12,7.67,7.83,7.67,8.0,7.67,7.83,84.67,1
Mexico,Washed / Wet,1200.0,0,3,0.13,7.83,7.58,7.67,7.92,7.92,7.83,84.67,1
Uganda,Washed / Wet,1775.0,0,3,0.11,7.92,7.83,7.75,7.92,7.67,7.75,84.67,1
Peru,Washed / Wet,1310.64,0,3,0.0,7.67,7.83,7.75,7.75,7.92,7.83,84.67,1
Ethiopia,Washed / Wet,1750.0,0,3,0.2,7.42,7.75,7.75,8.0,8.0,7.92,84.67,1
Kenya,Washed / Wet,1754.0,0,5,0.11,7.92,7.75,7.83,7.75,7.58,7.92,84.58,1
Colombia,Washed / Wet,1500.0,0,4,0.0,7.83,7.67,7.58,7.92,7.67,7.83,84.58,1
Colombia,Washed / Wet,1310.64,0,5,0.0,7.92,7.83,7.58,8.0,7.83,7.67,84.58,1
Kenya,Washed / Wet,1800.0,0,2,0.1,7.83,7.83,7.83,7.75,7.58,7.83,84.58,1
Guatemala,Washed / Wet,1524.0,0,1,0.11,7.75,7.83,7.67,7.92,7.75,7.83,84.58,1
Guatemala,Washed / Wet,1219.2,0,0,0.09,8.0,7.92,7.67,7.58,7.58,7.67,84.58,1
Colombia,Washed / Wet,1550.0,0,0,0.0,7.67,7.67,7.58,7.75,7.58,8.5,84.58,1
Colombia,Washed / Wet,1750.0,0,5,0.0,7.75,7.75,7.83,7.75,7.58,8.0,84.58,1
Kenya,Washed / Wet,1310.64,0,0,0.0,7.75,7.75,7.75,8.08,7.75,7.75,84.58,1
Colombia,Washed / Wet,1750.0,0,2,0.0,7.67,7.83,7.83,8.0,7.58,7.92,84.58,1
Costa Rica,Semi-washed / Semi-pulped,1575.0,0,2,0.12,7.75,7.83,7.75,8.0,7.83,7.67,84.58,1
Colombia,Washed / Wet,1800.0,0,6,0.11,7.42,7.67,7.75,7.75,8.08,7.83,84.58,1
Brazil,Semi-washed / Semi-pulped,1300.0,0,2,0.12,8.0,8.0,7.75,7.75,7.58,7.75,84.58,1
Brazil,Semi-washed / Semi-pulped,1100.0,0,1,0.11,8.5,8.0,7.5,7.75,7.5,7.83,84.58,1
Costa Rica,Washed / Wet,1200.0,0,2,0.1,7.92,7.67,7.92,7.75,7.67,7.58,84.5,1
Uganda,Washed / Wet,1750.0,0,1,0.11,7.92,7.75,7.67,7.75,7.83,7.75,84.5,1
China,Washed / Wet,1680.0,0,1,0.1,7.75,7.92,7.67,7.83,7.75,7.67,84.5,1
Costa Rica,Washed / Wet,1700.0,0,0,0.11,7.92,7.83,7.83,7.83,7.58,7.58,84.5,1
Colombia,Washed / Wet,1800.0,1,0,0.12,8.08,7.67,7.83,7.83,7.67,7.67,84.5,1
China,Washed / Wet,1100.0,0,2,0.0,7.67,8.0,7.75,7.83,7.75,7.58,84.5,1
Guatemala,Washed / Wet,1310.64,0,2,0.11,8.17,7.83,7.67,7.83,7.67,7.83,84.5,1
Kenya,Washed / Wet,2000.0,0,0,0.11,7.92,7.83,7.67,8.0,7.67,7.75,84.5,1
Mexico,Washed / Wet,1350.0,0,0,0.12,8.0,7.92,7.42,8.08,7.5,7.67,84.5,1
Mexico,Washed / Wet,1500.0,0,4,0.11,7.92,7.83,7.75,7.75,7.75,7.83,84.5,1
Guatemala,Washed / Wet,1310.64,0,2,0.11,7.67,8.0,7.67,8.0,7.5,7.83,84.5,1
Brazil,Washed / Wet,1310.64,0,4,0.0,7.81,7.81,7.88,7.75,7.38,8.25,84.5,1
Brazil,Washed / Wet,1310.64,2,0,0.0,8.17,7.67,7.75,7.75,7.67,7.75,84.5,1
Costa Rica,Washed / Wet,1300.0,0,3,0.1,7.58,7.83,7.83,8.0,7.67,7.58,84.42,1
Indonesia,Other,1400.0,0,3,0.0,7.67,7.67,7.83,7.58,7.83,7.83,84.42,1
Colombia,Natural / Dry,1310.64,0,1,0.0,7.92,7.83,7.75,7.67,7.92,7.67,84.42,1
Colombia,Washed / Wet,1775.0,0,3,0.0,7.92,7.75,7.67,7.92,7.67,7.75,84.42,1
Taiwan,Washed / Wet,1200.0,0,0,0.11,7.83,7.83,7.75,8.0,7.5,7.75,84.42,1
United States (Hawaii),Natural / Dry,1310.64,0,1,0.11,7.92,7.92,7.5,7.83,7.5,7.92,84.42,1
Mexico,Washed / Wet,900.0,2,4,0.12,7.75,7.92,7.75,7.67,7.83,7.67,84.42,1
Ethiopia,Washed / Wet,1310.64,0,2,0.2,7.5,7.75,7.83,7.92,7.92,7.75,84.42,1
Kenya,Washed / Wet,1800.0,0,4,0.11,7.33,7.58,7.83,7.75,7.75,7.92,84.33,1
Honduras,Washed / Wet,1500.0,0,3,0.1,7.92,8.0,7.75,7.67,7.67,7.75,84.33,1
Colombia,Washed / Wet,1310.64,0,5,0.0,7.58,7.75,7.5,7.83,7.67,8.5,84.33,1
Honduras,Washed / Wet,1500.0,0,2,0.11,7.58,7.92,7.58,7.75,7.92,7.75,84.33,1
Colombia,Washed / Wet,1310.64,0,4,0.0,7.67,7.67,7.75,7.83,7.75,7.83,84.33,1
Colombia,Natural / Dry,442.0,6,0,0.11,7.75,7.67,8.0,7.67,8.08,7.83,84.33,1
Colombia,Washed / Wet,1800.0,0,0,0.0,7.75,7.58,7.33,7.83,7.58,8.08,84.33,1
Mexico,Washed / Wet,1700.0,0,1,0.12,8.0,7.75,7.75,7.83,7.5,7.67,84.33,1
Brazil,Washed / Wet,1275.0,0,4,0.0,8.17,8.0,7.5,7.75,7.5,7.67,84.33,1
Brazil,Washed / Wet,1050.0,0,2,0.02,8.0,8.0,7.5,7.5,7.67,7.75,84.33,1
Ethiopia,Washed / Wet,1493.52,0,1,0.0,7.75,7.75,7.92,7.75,7.5,7.92,84.33,1
Guatemala,Washed / Wet,1386.84,1,1,0.04,7.5,7.67,7.75,7.67,7.92,7.92,84.33,1
Taiwan,Washed / Wet,1000.0,0,0,0.12,7.92,7.75,7.75,7.67,7.67,7.83,84.25,1
Thailand,Natural / Dry,1200.0,0,0,0.12,7.83,7.75,7.75,7.42,7.83,7.67,84.25,1
Colombia,Natural / Dry,2560.0,0,2,0.11,7.83,7.58,7.75,7.58,7.67,8.0,84.25,1
Guatemala,Washed / Wet,1500.0,0,4,0.11,7.75,7.75,7.58,7.92,7.75,7.75,84.25,1
Guatemala,Washed / Wet,1099.4136,0,1,0.1,7.75,7.92,7.5,8.08,7.58,7.67,84.25,1
China,Natural / Dry,1400.0,0,1,0.1,7.83,7.83,7.58,7.75,7.75,7.75,84.25,1
Colombia,Washed / Wet,1775.0,0,3,0.11,7.67,7.67,7.75,7.75,7.67,7.92,84.25,1
Colombia,Washed / Wet,1775.0,4,2,0.12,7.83,7.67,7.75,7.58,7.92,7.75,84.25,1
Colombia,Washed / Wet,1800.0,0,0,0.12,7.83,7.75,7.83,7.58,7.67,7.75,84.25,1
Colombia,Natural / Dry,442.0,3,0,0.12,7.42,7.67,7.83,7.75,7.92,7.83,84.25,1
"Tanzania, United Republic Of",Washed / Wet,1620.0,0,7,0.12,7.83,7.67,7.75,7.83,7.67,7.67,84.25,1
"Tanzania, United Republic Of",Washed / Wet,1600.0,0,2,0.12,7.83,7.75,7.75,7.75,7.67,7.75,84.25,1
Guatemala,Other,1219.2,0,1,0.1,7.83,7.83,7.5,7.92,7.58,7.75,84.25,1
Colombia,Washed / Wet,1700.0,0,2,0.11,7.58,7.5,7.75,7.83,7.92,7.83,84.25,1
United States (Hawaii),Natural / Dry,1310.64,1,1,0.11,7.33,7.92,7.92,7.92,7.92,8.08,84.25,1
Mexico,Semi-washed / Semi-pulped,1450.0,0,1,0.12,7.83,7.92,7.67,7.83,7.5,7.75,84.25,1
Mexico,Washed / Wet,1170.0,0,0,0.12,7.83,7.83,7.75,7.67,7.83,7.58,84.25,1
Mexico,Washed / Wet,1400.0,0,4,0.1,7.83,7.92,7.67,7.75,7.5,7.75,84.25,1
Uganda,Natural / Dry,1700.0,4,29,0.13,8.17,7.75,7.58,7.67,7.83,7.58,84.25,1
Guatemala,Washed / Wet,1700.0,0,1,0.13,7.75,7.83,7.58,7.83,7.67,7.75,84.17,1
Colombia,Washed / Wet,1310.64,0,2,0.0,7.83,7.75,7.58,7.67,7.75,7.83,84.17,1
Costa Rica,Washed / Wet,1700.0,0,2,0.09,7.92,7.75,7.67,7.67,7.5,7.67,84.17,1
Guatemala,Washed / Wet,1116.7872,0,6,0.11,7.75,7.75,7.58,8.0,7.67,7.83,84.17,1
Guatemala,Washed / Wet,1565.0,0,10,0.1,7.75,7.92,7.58,7.92,7.67,7.67,84.17,1
Guatemala,Washed / Wet,3280.0,0,2,0.1,7.58,7.83,7.58,7.83,7.83,7.67,84.17,1
Colombia,Washed / Wet,1775.0,0,0,0.0,8.0,7.5,7.5,7.67,8.0,7.83,84.17,1
Nicaragua,Natural / Dry,1000.0,0,0,0.12,7.67,7.83,7.83,7.5,7.67,7.83,84.17,1
Brazil,Natural / Dry,1150.0,0,16,0.0,7.67,7.75,7.75,7.67,7.83,7.75,84.17,1
Costa Rica,Washed / Wet,1850.0,0,0,0.0,7.67,7.75,7.67,7.75,7.5,8.0,84.17,1
Ethiopia,Natural / Dry,1606.5,0,5,0.1,7.5,7.92,7.58,7.83,7.75,7.83,84.17,1
"Tanzania, United Republic Of",Washed / Wet,1400.0,0,0,0.13,7.92,7.75,7.75,7.75,7.75,7.58,84.17,1
Colombia,Washed / Wet,1530.0,0,4,0.12,7.67,7.5,7.67,7.42,7.83,8.58,84.17,1
Guatemala,Washed / Wet,1310.64,0,0,0.11,7.67,7.75,7.67,7.75,7.75,7.75,84.17,1
Kenya,Washed / Wet,250.5,0,0,0.08,7.58,7.75,7.75,7.75,7.75,7.83,84.17,1
Brazil,Natural / Dry,1038.5,0,3,0.11,7.58,7.83,7.75,7.67,7.67,8.0,84.17,1
Guatemala,Washed / Wet,1310.64,0,4,0.11,7.92,7.75,7.67,7.67,7.83,7.92,84.17,1
El Salvador,Natural / Dry,1500.0,0,2,0.11,8.42,8.08,7.5,7.17,7.58,8.17,84.17,1
Colombia,Washed / Wet,1750.0,0,2,0.0,7.75,7.75,7.75,7.75,7.83,7.75,84.17,1
Guatemala,Natural / Dry,1310.64,0,2,0.11,7.83,7.5,7.5,8.0,7.83,7.83,84.17,1
Uganda,Washed / Wet,1600.0,0,1,0.11,7.83,7.75,7.5,7.83,7.83,7.75,84.17,1
Indonesia,Natural / Dry,1310.64,0,0,0.12,7.81,7.88,7.56,7.75,7.63,7.75,84.13,1
Colombia,Washed / Wet,442.0,1,3,0.0,7.83,7.5,7.42,7.5,7.83,8.5,84.08,1
Taiwan,Washed / Wet,968.0,0,4,0.1,7.58,7.67,7.67,7.67,7.75,7.83,84.08,1
Guatemala,Washed / Wet,1310.64,0,4,0.1,8.0,7.75,7.5,7.58,7.92,7.67,84.08,1
Colombia,Washed / Wet,1775.0,0,2,0.0,7.92,7.75,7.67,7.75,7.67,7.67,84.08,1
Guatemala,Washed / Wet,1550.0,0,10,0.1,7.58,7.75,7.67,8.0,7.75,7.67,84.08,1
United States (Hawaii),Natural / Dry,1310.64,1,9,0.11,7.83,7.75,7.83,7.83,7.42,8.08,84.08,1
Mexico,Washed / Wet,1480.0,1,10,0.11,7.67,7.75,7.67,7.75,7.67,7.75,84.08,1
Ethiopia,Natural / Dry,1800.0,0,15,0.09,7.92,7.92,7.83,8.0,7.92,7.92,84.08,1
Costa Rica,Washed / Wet,1310.64,1,13,0.08,7.58,7.75,7.67,7.75,7.83,7.75,84.0,1
